ForeFlight Logbook Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERIC 182T,aircraft,G,,,,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N325MM,aircraft,182T,,Cessna,182T,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2463S,aircraft,182T,,Cessna,182T,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERIC C172SP,aircraft,172S,,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N71CS,aircraft,PA28R-180,,Piper,Arrow,airplane,airplane_single_engine_land,retractable_tricycle,Piston,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N123TZ,aircraft,182T,,Cessna,182T,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N652SP,aircraft,172S,,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N54JA,aircraft,172S,,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N41BS,aircraft,172S,,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N35583,aircraft,172S,2001,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N290TW,aircraft,172S,2001,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N850SP,aircraft,172S,,Cessna,172SP,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N972TA,aircraft,172S,2002,Cessna,Skyhawk 172S,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N24635,aircraft,182T,,Cessna,182T,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N54JA,aircraft,C172S,,,,airplane,airplane_single_engine_land,fixed_tricycle,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N532PG,aircraft,SR20,,Cirrus,SR 20,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N387CS,aircraft,,,,,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flights Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,Distance,DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,FlightReview,Checkride,IPC,PilotComments,[Hours]Complex,[Hours]Cross Country (Part 121) LDG N/A,[Hours]Cross Country (Part 135) No Min Distance,[Hours]High Performance
2020-02-21,GENERIC C172SP,KPAO,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,0.0,0.0,0.0
2020-02-21,GENERIC 182T,KSQL,KSQL,KMRY,,,,,,,1.8,1.8,0.0,0.0,0.0,1.8,117.50,2,2,0,0,2,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,,1.8,1.8,1.8
2020-01-18,GENERIC C172SP,KPAO,KPAO,KWVI,21:37,21:37,00:10,00:10,,,1.6,1.6,0.0,0.0,0.0,0.0,0.00,2,2,0,0,2,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,0.0,1.6,0.0
2019-12-16,N2463S,KPAO,KLVK,,,,,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.00,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,1.5,0.0,0.0,Nariman Farsaie,Normal takeoff and landings. Sim. Engine Failure.  Emergencies.,,,,,,,false,false,false,,0.0,0.0,0.0,1.5
2019-12-16,N2463S,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,4,4,0,0,4,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,Adding landings to previous signed entry,0.0,0.0,0.0,0.0
2019-09-23,N325MM,E79,KPAO,T331 CIGDU,,,,,,,1.5,1.5,0.0,1.5,0.0,1.5,121.20,0,0,1,1,1,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,1.5,1.5,1.5
2019-09-23,N325MM,KPAO,E79,CIGDU T331 NTELL,,,,,,,1.6,1.6,0.0,1.6,0.0,1.6,122.60,0,0,1,1,1,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,1.6,1.6,1.6
2019-09-13,N325MM,KSQL,KSQL,VPBBV KRLOS KSTS KRLOS,,,,,,,2.4,2.4,0.0,0.0,0.0,2.4,132.70,1,1,4,4,5,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,2.4,2.4,2.4
2019-08-04,N325MM,KSBP,KPAO,,02:54,03:14,04:34,04:49,,,1.7,1.7,0.0,1.0,0.0,1.7,151.10,1,0,0,1,1,0.0,0.0,1455.10,1456.80,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,1.7,1.7,1.7
2019-08-03,N325MM,KPAO,KSBP,SNS PRB,,,,,,,1.8,1.8,0.0,0.0,0.0,1.8,155.80,0,0,0,0,0,0.0,0.0,1453.30,1455.10,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,1.8,1.8,1.8
2019-07-27,GENERIC C172SP,KSQL,KSQL,KWVI KRLOS,,,,,,,1.7,1.7,0.0,0.0,0.0,0.0,0.00,4,4,0,0,4,0.0,0.0,4705.30,0.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,0.0,1.7,0.0
2019-07-20,N71CS,KPAO,KPAO,,19:39,20:02,21:19,21:34,,,1.9,1.9,0.0,0.0,0.0,0.0,0.00,2,2,0,0,2,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,1.9,0.0,0.0,Lou Dietz,,,,,,,,false,false,false,,1.9,0.0,1.9,0.0
2019-07-18,N71CS,KAPC,KPAO,,19:49,20:06,20:38,20:53,,,1.0,1.0,0.0,0.0,0.0,0.0,0.00,1,1,0,0,1,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,1.0,0.0,0.0,Lou Dietz,,,,,,,,false,false,false,,1.0,0.0,0.0,0.0
2019-07-18,N71CS,KPAO,KAPC,,18:25,18:55,19:26,19:41,,,0.9,0.9,0.0,0.0,0.0,,0.00,1,1,0,0,1,0.0,0.0,0.00,0.00,0.00,0.00,0,,,,,,,0.0,0.9,0.0,0.0,Lou Dietz,,,,,,,,false,false,false,,0.9,,0.9,0.0
2019-06-24,N123TZ,KSQL,KSQL,KRLOS KAPC SALAD,,,,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.00,2,2,0,0,2,0.0,0.0,1843.50,1845.00,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,1.5,0.0,1.5,0.0
2019-06-09,N123TZ,KSQL,KWVI,KRLOS KHAF,,,,,,,1.8,1.8,0.0,0.0,0.0,0.0,0.00,2,2,0,0,2,0.0,0.0,1821.10,1822.90,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,0.0,0.0,1.8
2019-06-09,N123TZ,KWVI,KSQL,,,,,,,,0.6,0.6,0.0,0.0,0.0,0.0,0.00,0,0,0,0,0,0.0,0.0,1822.90,1823.50,0.00,0.00,0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,false,false,false,,0.0,0.0,0.0,0.6
